INFO:root:Start SimCLR training for 100 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0	Loss: 5.902809143066406	Top1 accuracy: 1.171875
DEBUG:root:Epoch: 1	Loss: 5.365020751953125	Top1 accuracy: 3.125
DEBUG:root:Epoch: 2	Loss: 5.100349426269531	Top1 accuracy: 1.5625
DEBUG:root:Epoch: 3	Loss: 5.007530212402344	Top1 accuracy: 6.25
DEBUG:root:Epoch: 4	Loss: 4.699005126953125	Top1 accuracy: 6.25
DEBUG:root:Epoch: 5	Loss: 4.684608459472656	Top1 accuracy: 8.984375
DEBUG:root:Epoch: 6	Loss: 4.604915618896484	Top1 accuracy: 9.375
DEBUG:root:Epoch: 7	Loss: 4.261207580566406	Top1 accuracy: 11.71875
DEBUG:root:Epoch: 8	Loss: 3.9275951385498047	Top1 accuracy: 16.40625
DEBUG:root:Epoch: 9	Loss: 4.356992721557617	Top1 accuracy: 22.65625
DEBUG:root:Epoch: 10	Loss: 4.088611602783203	Top1 accuracy: 28.125
DEBUG:root:Epoch: 11	Loss: 3.7092227935791016	Top1 accuracy: 20.3125
DEBUG:root:Epoch: 12	Loss: 3.774709701538086	Top1 accuracy: 25.78125
DEBUG:root:Epoch: 13	Loss: 3.4061198234558105	Top1 accuracy: 21.875
DEBUG:root:Epoch: 14	Loss: 3.772307872772217	Top1 accuracy: 27.734375
DEBUG:root:Epoch: 15	Loss: 3.789050579071045	Top1 accuracy: 24.21875
DEBUG:root:Epoch: 16	Loss: 3.5514707565307617	Top1 accuracy: 25.390625
DEBUG:root:Epoch: 17	Loss: 3.7115719318389893	Top1 accuracy: 24.609375
DEBUG:root:Epoch: 18	Loss: 3.449110984802246	Top1 accuracy: 38.671875
DEBUG:root:Epoch: 19	Loss: 3.5655646324157715	Top1 accuracy: 39.84375
DEBUG:root:Epoch: 20	Loss: 3.7886886596679688	Top1 accuracy: 33.59375
DEBUG:root:Epoch: 21	Loss: 3.159625291824341	Top1 accuracy: 29.6875
DEBUG:root:Epoch: 22	Loss: 3.2587876319885254	Top1 accuracy: 36.71875
DEBUG:root:Epoch: 23	Loss: 3.2764525413513184	Top1 accuracy: 29.296875
DEBUG:root:Epoch: 24	Loss: 3.380553960800171	Top1 accuracy: 39.0625
DEBUG:root:Epoch: 25	Loss: 3.0250792503356934	Top1 accuracy: 34.765625
DEBUG:root:Epoch: 26	Loss: 3.0823564529418945	Top1 accuracy: 34.765625
