INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0	Loss: 5.8966217041015625	Top1 accuracy: 0.78125
DEBUG:root:Epoch: 1	Loss: 5.318336486816406	Top1 accuracy: 1.953125
DEBUG:root:Epoch: 2	Loss: 5.097984313964844	Top1 accuracy: 1.5625
DEBUG:root:Epoch: 3	Loss: 4.969573974609375	Top1 accuracy: 2.34375
DEBUG:root:Epoch: 4	Loss: 4.70550537109375	Top1 accuracy: 5.078125
DEBUG:root:Epoch: 5	Loss: 4.63140869140625	Top1 accuracy: 9.375
DEBUG:root:Epoch: 6	Loss: 4.579376220703125	Top1 accuracy: 9.765625
DEBUG:root:Epoch: 7	Loss: 4.3282470703125	Top1 accuracy: 15.625
DEBUG:root:Epoch: 8	Loss: 3.8904075622558594	Top1 accuracy: 12.890625
DEBUG:root:Epoch: 9	Loss: 4.344076156616211	Top1 accuracy: 22.265625
DEBUG:root:Epoch: 10	Loss: 4.147249221801758	Top1 accuracy: 27.34375
DEBUG:root:Epoch: 11	Loss: 3.8564910888671875	Top1 accuracy: 17.96875
DEBUG:root:Epoch: 12	Loss: 3.8645992279052734	Top1 accuracy: 26.5625
DEBUG:root:Epoch: 13	Loss: 3.4126949310302734	Top1 accuracy: 24.21875
DEBUG:root:Epoch: 14	Loss: 3.797849655151367	Top1 accuracy: 27.34375
DEBUG:root:Epoch: 15	Loss: 3.971236228942871	Top1 accuracy: 22.65625
DEBUG:root:Epoch: 16	Loss: 3.5052084922790527	Top1 accuracy: 31.25
DEBUG:root:Epoch: 17	Loss: 3.732182025909424	Top1 accuracy: 27.34375
DEBUG:root:Epoch: 18	Loss: 3.5089776515960693	Top1 accuracy: 38.671875
DEBUG:root:Epoch: 19	Loss: 3.626495838165283	Top1 accuracy: 37.109375
DEBUG:root:Epoch: 20	Loss: 3.667490243911743	Top1 accuracy: 34.765625
DEBUG:root:Epoch: 21	Loss: 3.261908769607544	Top1 accuracy: 28.90625
DEBUG:root:Epoch: 22	Loss: 3.180140972137451	Top1 accuracy: 33.203125
DEBUG:root:Epoch: 23	Loss: 3.268867254257202	Top1 accuracy: 28.90625
DEBUG:root:Epoch: 24	Loss: 3.3394675254821777	Top1 accuracy: 41.796875
DEBUG:root:Epoch: 25	Loss: 3.076860189437866	Top1 accuracy: 36.328125
DEBUG:root:Epoch: 26	Loss: 2.922567844390869	Top1 accuracy: 31.640625
DEBUG:root:Epoch: 27	Loss: 3.159092426300049	Top1 accuracy: 41.796875
DEBUG:root:Epoch: 28	Loss: 3.0535664558410645	Top1 accuracy: 33.203125
DEBUG:root:Epoch: 29	Loss: 3.001680612564087	Top1 accuracy: 32.421875
DEBUG:root:Epoch: 30	Loss: 2.894502639770508	Top1 accuracy: 40.234375
DEBUG:root:Epoch: 31	Loss: 2.887225866317749	Top1 accuracy: 41.796875
DEBUG:root:Epoch: 32	Loss: 3.064070701599121	Top1 accuracy: 42.96875
DEBUG:root:Epoch: 33	Loss: 3.1060757637023926	Top1 accuracy: 37.890625
DEBUG:root:Epoch: 34	Loss: 3.037952184677124	Top1 accuracy: 40.625
DEBUG:root:Epoch: 35	Loss: 2.7984938621520996	Top1 accuracy: 40.234375
DEBUG:root:Epoch: 36	Loss: 2.790820360183716	Top1 accuracy: 39.453125
DEBUG:root:Epoch: 37	Loss: 2.595134735107422	Top1 accuracy: 41.40625
DEBUG:root:Epoch: 38	Loss: 2.5214133262634277	Top1 accuracy: 45.703125
DEBUG:root:Epoch: 39	Loss: 2.7324678897857666	Top1 accuracy: 45.703125
DEBUG:root:Epoch: 40	Loss: 2.465634822845459	Top1 accuracy: 46.09375
DEBUG:root:Epoch: 41	Loss: 2.534024477005005	Top1 accuracy: 41.015625
DEBUG:root:Epoch: 42	Loss: 2.3790676593780518	Top1 accuracy: 42.96875
DEBUG:root:Epoch: 43	Loss: 2.798151731491089	Top1 accuracy: 42.1875
DEBUG:root:Epoch: 44	Loss: 2.667174816131592	Top1 accuracy: 40.234375
DEBUG:root:Epoch: 45	Loss: 2.4837656021118164	Top1 accuracy: 58.203125
