INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0	Loss: 7.295951843261719	Top1 accuracy: 1.07421875
DEBUG:root:Epoch: 1	Loss: 6.5366973876953125	Top1 accuracy: 0.87890625
DEBUG:root:Epoch: 2	Loss: 6.3570556640625	Top1 accuracy: 0.87890625
DEBUG:root:Epoch: 3	Loss: 6.189613342285156	Top1 accuracy: 2.05078125
DEBUG:root:Epoch: 4	Loss: 5.887428283691406	Top1 accuracy: 3.02734375
DEBUG:root:Epoch: 5	Loss: 5.752056121826172	Top1 accuracy: 4.98046875
DEBUG:root:Epoch: 6	Loss: 5.575540542602539	Top1 accuracy: 5.6640625
DEBUG:root:Epoch: 7	Loss: 5.552639961242676	Top1 accuracy: 6.93359375
DEBUG:root:Epoch: 8	Loss: 5.382229804992676	Top1 accuracy: 10.546875
DEBUG:root:Epoch: 9	Loss: 5.251678466796875	Top1 accuracy: 12.79296875
DEBUG:root:Epoch: 10	Loss: 5.157472133636475	Top1 accuracy: 12.890625
DEBUG:root:Epoch: 11	Loss: 5.065541744232178	Top1 accuracy: 17.7734375
DEBUG:root:Epoch: 12	Loss: 4.767636299133301	Top1 accuracy: 17.578125
DEBUG:root:Epoch: 13	Loss: 4.713249206542969	Top1 accuracy: 17.48046875
DEBUG:root:Epoch: 14	Loss: 4.606457233428955	Top1 accuracy: 22.4609375
DEBUG:root:Epoch: 15	Loss: 4.789140701293945	Top1 accuracy: 21.875
DEBUG:root:Epoch: 16	Loss: 4.573723793029785	Top1 accuracy: 23.53515625
DEBUG:root:Epoch: 17	Loss: 4.587819576263428	Top1 accuracy: 22.0703125
DEBUG:root:Epoch: 18	Loss: 4.405226230621338	Top1 accuracy: 24.21875
DEBUG:root:Epoch: 19	Loss: 4.317671775817871	Top1 accuracy: 27.1484375
DEBUG:root:Epoch: 20	Loss: 4.221052646636963	Top1 accuracy: 28.90625
DEBUG:root:Epoch: 21	Loss: 4.222753047943115	Top1 accuracy: 29.6875
DEBUG:root:Epoch: 22	Loss: 4.239620208740234	Top1 accuracy: 32.2265625
DEBUG:root:Epoch: 23	Loss: 4.077330589294434	Top1 accuracy: 29.58984375
DEBUG:root:Epoch: 24	Loss: 4.046737194061279	Top1 accuracy: 32.421875
DEBUG:root:Epoch: 25	Loss: 4.037226676940918	Top1 accuracy: 31.0546875
DEBUG:root:Epoch: 26	Loss: 4.0699543952941895	Top1 accuracy: 29.98046875
DEBUG:root:Epoch: 27	Loss: 3.8646340370178223	Top1 accuracy: 33.203125
DEBUG:root:Epoch: 28	Loss: 3.833895683288574	Top1 accuracy: 31.0546875
DEBUG:root:Epoch: 29	Loss: 3.4852540493011475	Top1 accuracy: 35.546875
DEBUG:root:Epoch: 30	Loss: 4.066899299621582	Top1 accuracy: 36.42578125
DEBUG:root:Epoch: 31	Loss: 3.6805338859558105	Top1 accuracy: 31.4453125
DEBUG:root:Epoch: 32	Loss: 3.7333292961120605	Top1 accuracy: 36.328125
DEBUG:root:Epoch: 33	Loss: 3.7097225189208984	Top1 accuracy: 36.328125
DEBUG:root:Epoch: 34	Loss: 3.7057409286499023	Top1 accuracy: 35.9375
DEBUG:root:Epoch: 35	Loss: 3.476773977279663	Top1 accuracy: 37.3046875
DEBUG:root:Epoch: 36	Loss: 3.684175968170166	Top1 accuracy: 38.96484375
DEBUG:root:Epoch: 37	Loss: 3.674095869064331	Top1 accuracy: 37.20703125
DEBUG:root:Epoch: 38	Loss: 3.5659193992614746	Top1 accuracy: 42.67578125
DEBUG:root:Epoch: 39	Loss: 3.4697823524475098	Top1 accuracy: 37.5
DEBUG:root:Epoch: 40	Loss: 3.5509378910064697	Top1 accuracy: 36.5234375
DEBUG:root:Epoch: 41	Loss: 3.6967356204986572	Top1 accuracy: 39.6484375
DEBUG:root:Epoch: 42	Loss: 3.488449811935425	Top1 accuracy: 42.96875
DEBUG:root:Epoch: 43	Loss: 3.3083627223968506	Top1 accuracy: 40.625
DEBUG:root:Epoch: 44	Loss: 3.306171417236328	Top1 accuracy: 40.8203125
DEBUG:root:Epoch: 45	Loss: 3.3851585388183594	Top1 accuracy: 38.18359375
DEBUG:root:Epoch: 46	Loss: 3.2844111919403076	Top1 accuracy: 40.13671875
DEBUG:root:Epoch: 47	Loss: 3.2576022148132324	Top1 accuracy: 42.87109375
DEBUG:root:Epoch: 48	Loss: 3.231001377105713	Top1 accuracy: 43.75
DEBUG:root:Epoch: 49	Loss: 3.4426589012145996	Top1 accuracy: 42.08984375
DEBUG:root:Epoch: 50	Loss: 3.3165855407714844	Top1 accuracy: 42.87109375
DEBUG:root:Epoch: 51	Loss: 3.0593113899230957	Top1 accuracy: 42.08984375
DEBUG:root:Epoch: 52	Loss: 3.2291805744171143	Top1 accuracy: 41.015625
DEBUG:root:Epoch: 53	Loss: 3.1900463104248047	Top1 accuracy: 43.359375
DEBUG:root:Epoch: 54	Loss: 3.1768007278442383	Top1 accuracy: 45.21484375
DEBUG:root:Epoch: 55	Loss: 3.238426685333252	Top1 accuracy: 43.84765625
DEBUG:root:Epoch: 56	Loss: 3.181238889694214	Top1 accuracy: 43.359375
DEBUG:root:Epoch: 57	Loss: 3.447559356689453	Top1 accuracy: 44.140625
DEBUG:root:Epoch: 58	Loss: 3.231517791748047	Top1 accuracy: 47.55859375
DEBUG:root:Epoch: 59	Loss: 3.0810723304748535	Top1 accuracy: 41.796875
DEBUG:root:Epoch: 60	Loss: 2.91209077835083	Top1 accuracy: 48.2421875
DEBUG:root:Epoch: 61	Loss: 3.024411678314209	Top1 accuracy: 43.359375
DEBUG:root:Epoch: 62	Loss: 3.133587598800659	Top1 accuracy: 46.6796875
DEBUG:root:Epoch: 63	Loss: 2.989513397216797	Top1 accuracy: 50.29296875
DEBUG:root:Epoch: 64	Loss: 3.0390636920928955	Top1 accuracy: 44.53125
DEBUG:root:Epoch: 65	Loss: 3.1038031578063965	Top1 accuracy: 43.84765625
DEBUG:root:Epoch: 66	Loss: 3.1172099113464355	Top1 accuracy: 43.84765625
DEBUG:root:Epoch: 67	Loss: 3.0959625244140625	Top1 accuracy: 49.12109375
DEBUG:root:Epoch: 68	Loss: 2.7351527214050293	Top1 accuracy: 47.265625
DEBUG:root:Epoch: 69	Loss: 2.913896322250366	Top1 accuracy: 49.51171875
DEBUG:root:Epoch: 70	Loss: 3.03019118309021	Top1 accuracy: 49.12109375
DEBUG:root:Epoch: 71	Loss: 2.731177568435669	Top1 accuracy: 47.8515625
DEBUG:root:Epoch: 72	Loss: 3.06852126121521	Top1 accuracy: 47.0703125
DEBUG:root:Epoch: 73	Loss: 2.852538824081421	Top1 accuracy: 49.51171875
DEBUG:root:Epoch: 74	Loss: 2.862118721008301	Top1 accuracy: 49.8046875
DEBUG:root:Epoch: 75	Loss: 2.9835166931152344	Top1 accuracy: 50.68359375
DEBUG:root:Epoch: 76	Loss: 2.7936224937438965	Top1 accuracy: 49.70703125
DEBUG:root:Epoch: 77	Loss: 2.8605315685272217	Top1 accuracy: 48.53515625
DEBUG:root:Epoch: 78	Loss: 2.647122859954834	Top1 accuracy: 51.953125
DEBUG:root:Epoch: 79	Loss: 2.873567819595337	Top1 accuracy: 49.31640625
DEBUG:root:Epoch: 80	Loss: 2.711460828781128	Top1 accuracy: 50.68359375
DEBUG:root:Epoch: 81	Loss: 2.8738112449645996	Top1 accuracy: 50.0
DEBUG:root:Epoch: 82	Loss: 2.874619722366333	Top1 accuracy: 50.5859375
DEBUG:root:Epoch: 83	Loss: 3.019629955291748	Top1 accuracy: 50.68359375
DEBUG:root:Epoch: 84	Loss: 2.5954205989837646	Top1 accuracy: 50.78125
DEBUG:root:Epoch: 85	Loss: 2.729283332824707	Top1 accuracy: 51.26953125
DEBUG:root:Epoch: 86	Loss: 2.8860087394714355	Top1 accuracy: 50.87890625
DEBUG:root:Epoch: 87	Loss: 2.7484090328216553	Top1 accuracy: 53.02734375
DEBUG:root:Epoch: 88	Loss: 2.5522525310516357	Top1 accuracy: 53.61328125
DEBUG:root:Epoch: 89	Loss: 2.8597121238708496	Top1 accuracy: 52.05078125
DEBUG:root:Epoch: 90	Loss: 2.797424554824829	Top1 accuracy: 52.1484375
DEBUG:root:Epoch: 91	Loss: 2.555438995361328	Top1 accuracy: 51.85546875
DEBUG:root:Epoch: 92	Loss: 2.472433090209961	Top1 accuracy: 56.34765625
DEBUG:root:Epoch: 93	Loss: 2.5177788734436035	Top1 accuracy: 52.44140625
DEBUG:root:Epoch: 94	Loss: 2.7014284133911133	Top1 accuracy: 55.859375
DEBUG:root:Epoch: 95	Loss: 2.8547074794769287	Top1 accuracy: 53.41796875
DEBUG:root:Epoch: 96	Loss: 2.6601028442382812	Top1 accuracy: 50.390625
DEBUG:root:Epoch: 97	Loss: 2.6915283203125	Top1 accuracy: 52.5390625
DEBUG:root:Epoch: 98	Loss: 2.60280179977417	Top1 accuracy: 52.05078125
DEBUG:root:Epoch: 99	Loss: 2.684802770614624	Top1 accuracy: 52.05078125
DEBUG:root:Epoch: 100	Loss: 2.6772167682647705	Top1 accuracy: 53.02734375
DEBUG:root:Epoch: 101	Loss: 2.7098491191864014	Top1 accuracy: 53.41796875
DEBUG:root:Epoch: 102	Loss: 2.5845024585723877	Top1 accuracy: 54.98046875
DEBUG:root:Epoch: 103	Loss: 2.4231324195861816	Top1 accuracy: 52.24609375
DEBUG:root:Epoch: 104	Loss: 2.741361618041992	Top1 accuracy: 56.8359375
DEBUG:root:Epoch: 105	Loss: 2.6298327445983887	Top1 accuracy: 54.58984375
DEBUG:root:Epoch: 106	Loss: 2.3359644412994385	Top1 accuracy: 52.44140625
DEBUG:root:Epoch: 107	Loss: 2.5834147930145264	Top1 accuracy: 56.93359375
DEBUG:root:Epoch: 108	Loss: 2.6330480575561523	Top1 accuracy: 58.30078125
DEBUG:root:Epoch: 109	Loss: 2.6980748176574707	Top1 accuracy: 54.00390625
DEBUG:root:Epoch: 110	Loss: 2.59045672416687	Top1 accuracy: 52.24609375
DEBUG:root:Epoch: 111	Loss: 2.6039609909057617	Top1 accuracy: 53.125
DEBUG:root:Epoch: 112	Loss: 2.522841453552246	Top1 accuracy: 52.83203125
DEBUG:root:Epoch: 113	Loss: 2.537285804748535	Top1 accuracy: 55.46875
DEBUG:root:Epoch: 114	Loss: 2.6456305980682373	Top1 accuracy: 54.4921875
DEBUG:root:Epoch: 115	Loss: 2.4626407623291016	Top1 accuracy: 55.078125
DEBUG:root:Epoch: 116	Loss: 2.4929239749908447	Top1 accuracy: 50.09765625
DEBUG:root:Epoch: 117	Loss: 2.6038260459899902	Top1 accuracy: 54.00390625
DEBUG:root:Epoch: 118	Loss: 2.5521302223205566	Top1 accuracy: 55.95703125
DEBUG:root:Epoch: 119	Loss: 2.415951728820801	Top1 accuracy: 55.859375
DEBUG:root:Epoch: 120	Loss: 2.3074090480804443	Top1 accuracy: 53.125
DEBUG:root:Epoch: 121	Loss: 2.4925549030303955	Top1 accuracy: 56.4453125
DEBUG:root:Epoch: 122	Loss: 2.6637487411499023	Top1 accuracy: 57.91015625
DEBUG:root:Epoch: 123	Loss: 2.2963931560516357	Top1 accuracy: 56.0546875
DEBUG:root:Epoch: 124	Loss: 2.4889297485351562	Top1 accuracy: 60.83984375
DEBUG:root:Epoch: 125	Loss: 2.463667869567871	Top1 accuracy: 55.95703125
DEBUG:root:Epoch: 126	Loss: 2.433241367340088	Top1 accuracy: 56.73828125
DEBUG:root:Epoch: 127	Loss: 2.424285888671875	Top1 accuracy: 53.02734375
DEBUG:root:Epoch: 128	Loss: 2.311202049255371	Top1 accuracy: 58.88671875
DEBUG:root:Epoch: 129	Loss: 2.2716360092163086	Top1 accuracy: 56.8359375
DEBUG:root:Epoch: 130	Loss: 2.4850544929504395	Top1 accuracy: 57.421875
DEBUG:root:Epoch: 131	Loss: 2.4306797981262207	Top1 accuracy: 55.46875
DEBUG:root:Epoch: 132	Loss: 2.3749561309814453	Top1 accuracy: 57.421875
DEBUG:root:Epoch: 133	Loss: 2.487999439239502	Top1 accuracy: 57.421875
DEBUG:root:Epoch: 134	Loss: 2.4661433696746826	Top1 accuracy: 58.10546875
DEBUG:root:Epoch: 135	Loss: 2.324232816696167	Top1 accuracy: 57.51953125
DEBUG:root:Epoch: 136	Loss: 2.479381799697876	Top1 accuracy: 58.984375
DEBUG:root:Epoch: 137	Loss: 2.3243346214294434	Top1 accuracy: 57.32421875
DEBUG:root:Epoch: 138	Loss: 2.527092933654785	Top1 accuracy: 57.12890625
DEBUG:root:Epoch: 139	Loss: 2.3363306522369385	Top1 accuracy: 58.69140625
DEBUG:root:Epoch: 140	Loss: 2.362605571746826	Top1 accuracy: 59.765625
DEBUG:root:Epoch: 141	Loss: 2.3932864665985107	Top1 accuracy: 54.8828125
DEBUG:root:Epoch: 142	Loss: 2.433086395263672	Top1 accuracy: 53.125
DEBUG:root:Epoch: 143	Loss: 2.389821767807007	Top1 accuracy: 57.03125
DEBUG:root:Epoch: 144	Loss: 2.418546676635742	Top1 accuracy: 55.95703125
DEBUG:root:Epoch: 145	Loss: 2.3802168369293213	Top1 accuracy: 58.88671875
DEBUG:root:Epoch: 146	Loss: 2.3718719482421875	Top1 accuracy: 59.08203125
DEBUG:root:Epoch: 147	Loss: 2.2277674674987793	Top1 accuracy: 56.15234375
DEBUG:root:Epoch: 148	Loss: 2.2886271476745605	Top1 accuracy: 60.83984375
DEBUG:root:Epoch: 149	Loss: 2.3907437324523926	Top1 accuracy: 58.10546875
DEBUG:root:Epoch: 150	Loss: 2.3287718296051025	Top1 accuracy: 56.4453125
DEBUG:root:Epoch: 151	Loss: 2.4053802490234375	Top1 accuracy: 57.6171875
DEBUG:root:Epoch: 152	Loss: 2.3849709033966064	Top1 accuracy: 57.6171875
DEBUG:root:Epoch: 153	Loss: 2.082427978515625	Top1 accuracy: 59.9609375
DEBUG:root:Epoch: 154	Loss: 2.500948905944824	Top1 accuracy: 55.859375
DEBUG:root:Epoch: 155	Loss: 2.3899691104888916	Top1 accuracy: 58.49609375
DEBUG:root:Epoch: 156	Loss: 2.373379945755005	Top1 accuracy: 56.73828125
DEBUG:root:Epoch: 157	Loss: 2.4287021160125732	Top1 accuracy: 57.51953125
DEBUG:root:Epoch: 158	Loss: 2.080068826675415	Top1 accuracy: 54.8828125
DEBUG:root:Epoch: 159	Loss: 2.5066816806793213	Top1 accuracy: 57.03125
DEBUG:root:Epoch: 160	Loss: 2.418604850769043	Top1 accuracy: 56.15234375
DEBUG:root:Epoch: 161	Loss: 2.2870118618011475	Top1 accuracy: 59.765625
DEBUG:root:Epoch: 162	Loss: 2.2695701122283936	Top1 accuracy: 54.6875
DEBUG:root:Epoch: 163	Loss: 2.2928826808929443	Top1 accuracy: 60.25390625
DEBUG:root:Epoch: 164	Loss: 2.207444190979004	Top1 accuracy: 57.12890625
DEBUG:root:Epoch: 165	Loss: 2.3443641662597656	Top1 accuracy: 57.8125
DEBUG:root:Epoch: 166	Loss: 2.4364116191864014	Top1 accuracy: 57.8125
DEBUG:root:Epoch: 167	Loss: 2.221325159072876	Top1 accuracy: 57.421875
DEBUG:root:Epoch: 168	Loss: 2.4568796157836914	Top1 accuracy: 56.0546875
DEBUG:root:Epoch: 169	Loss: 2.110006093978882	Top1 accuracy: 60.3515625
DEBUG:root:Epoch: 170	Loss: 2.429600715637207	Top1 accuracy: 56.93359375
DEBUG:root:Epoch: 171	Loss: 2.3238613605499268	Top1 accuracy: 60.25390625
DEBUG:root:Epoch: 172	Loss: 2.18747878074646	Top1 accuracy: 56.54296875
DEBUG:root:Epoch: 173	Loss: 2.1171674728393555	Top1 accuracy: 57.32421875
DEBUG:root:Epoch: 174	Loss: 2.2906007766723633	Top1 accuracy: 58.10546875
DEBUG:root:Epoch: 175	Loss: 2.2491629123687744	Top1 accuracy: 56.73828125
DEBUG:root:Epoch: 176	Loss: 2.323460340499878	Top1 accuracy: 63.671875
DEBUG:root:Epoch: 177	Loss: 2.3236494064331055	Top1 accuracy: 58.30078125
DEBUG:root:Epoch: 178	Loss: 2.2030043601989746	Top1 accuracy: 58.7890625
