INFO:root:Start AM_SimCLR training for 100 epochs.
INFO:root:Disable gpu: False.
DEBUG:root:Epoch: 0	Loss: 6.4524970054626465	Top1 accuracy: 0.1953125
DEBUG:root:Epoch: 1	Loss: 6.058326244354248	Top1 accuracy: 1.5625
DEBUG:root:Epoch: 2	Loss: 5.8655924797058105	Top1 accuracy: 2.734375
DEBUG:root:Epoch: 3	Loss: 5.5631489753723145	Top1 accuracy: 3.3203125
DEBUG:root:Epoch: 4	Loss: 5.291326522827148	Top1 accuracy: 5.2734375
DEBUG:root:Epoch: 5	Loss: 5.337631702423096	Top1 accuracy: 8.3984375
DEBUG:root:Epoch: 6	Loss: 4.975775241851807	Top1 accuracy: 13.0859375
DEBUG:root:Epoch: 7	Loss: 4.905628681182861	Top1 accuracy: 13.28125
DEBUG:root:Epoch: 8	Loss: 4.915679454803467	Top1 accuracy: 16.6015625
DEBUG:root:Epoch: 9	Loss: 4.594208240509033	Top1 accuracy: 14.6484375
DEBUG:root:Epoch: 10	Loss: 4.300598621368408	Top1 accuracy: 16.015625
DEBUG:root:Epoch: 11	Loss: 4.358363151550293	Top1 accuracy: 17.3828125
DEBUG:root:Epoch: 12	Loss: 4.060081958770752	Top1 accuracy: 21.875
DEBUG:root:Epoch: 13	Loss: 4.336592197418213	Top1 accuracy: 20.5078125
DEBUG:root:Epoch: 14	Loss: 4.384609222412109	Top1 accuracy: 18.9453125
DEBUG:root:Epoch: 15	Loss: 4.108301639556885	Top1 accuracy: 27.1484375
DEBUG:root:Epoch: 16	Loss: 3.6531033515930176	Top1 accuracy: 25.78125
DEBUG:root:Epoch: 17	Loss: 4.180027484893799	Top1 accuracy: 24.0234375
DEBUG:root:Epoch: 18	Loss: 3.9156224727630615	Top1 accuracy: 25.390625
DEBUG:root:Epoch: 19	Loss: 3.706753969192505	Top1 accuracy: 28.515625
DEBUG:root:Epoch: 20	Loss: 4.131633281707764	Top1 accuracy: 29.1015625
DEBUG:root:Epoch: 21	Loss: 3.804779529571533	Top1 accuracy: 28.125
DEBUG:root:Epoch: 22	Loss: 3.513312578201294	Top1 accuracy: 33.984375
DEBUG:root:Epoch: 23	Loss: 3.657216787338257	Top1 accuracy: 32.2265625
