INFO:root:Start AM_SimCLR training for 100 epochs.
INFO:root:Disable gpu: False.
DEBUG:root:Epoch: 0	Loss: 6.333151817321777	Top1 accuracy: 1.5625
DEBUG:root:Epoch: 1	Loss: 6.122818470001221	Top1 accuracy: 1.171875
DEBUG:root:Epoch: 2	Loss: 5.723299503326416	Top1 accuracy: 2.9296875
DEBUG:root:Epoch: 3	Loss: 5.562442302703857	Top1 accuracy: 4.8828125
DEBUG:root:Epoch: 4	Loss: 5.253696918487549	Top1 accuracy: 3.7109375
DEBUG:root:Epoch: 5	Loss: 5.14815092086792	Top1 accuracy: 6.8359375
DEBUG:root:Epoch: 6	Loss: 4.96008825302124	Top1 accuracy: 9.5703125
DEBUG:root:Epoch: 7	Loss: 4.771564483642578	Top1 accuracy: 10.15625
DEBUG:root:Epoch: 8	Loss: 4.592249393463135	Top1 accuracy: 16.796875
DEBUG:root:Epoch: 9	Loss: 4.484957695007324	Top1 accuracy: 15.4296875
DEBUG:root:Epoch: 10	Loss: 4.308767795562744	Top1 accuracy: 21.2890625
DEBUG:root:Epoch: 11	Loss: 4.502167701721191	Top1 accuracy: 17.96875
DEBUG:root:Epoch: 12	Loss: 4.169960021972656	Top1 accuracy: 24.21875
DEBUG:root:Epoch: 13	Loss: 4.220530033111572	Top1 accuracy: 21.875
DEBUG:root:Epoch: 14	Loss: 4.130642890930176	Top1 accuracy: 24.0234375
DEBUG:root:Epoch: 15	Loss: 3.9687390327453613	Top1 accuracy: 26.7578125
DEBUG:root:Epoch: 16	Loss: 4.041659832000732	Top1 accuracy: 26.953125
DEBUG:root:Epoch: 17	Loss: 3.6816036701202393	Top1 accuracy: 27.9296875
DEBUG:root:Epoch: 18	Loss: 3.722851514816284	Top1 accuracy: 33.0078125
DEBUG:root:Epoch: 19	Loss: 3.7303903102874756	Top1 accuracy: 29.1015625
DEBUG:root:Epoch: 20	Loss: 4.081645488739014	Top1 accuracy: 32.2265625
DEBUG:root:Epoch: 21	Loss: 3.9300544261932373	Top1 accuracy: 28.90625
DEBUG:root:Epoch: 22	Loss: 3.6850082874298096	Top1 accuracy: 33.984375
DEBUG:root:Epoch: 23	Loss: 3.243992567062378	Top1 accuracy: 34.765625
DEBUG:root:Epoch: 24	Loss: 3.639847993850708	Top1 accuracy: 32.6171875
DEBUG:root:Epoch: 25	Loss: 3.4970383644104004	Top1 accuracy: 33.203125
DEBUG:root:Epoch: 26	Loss: 3.205939531326294	Top1 accuracy: 36.71875
DEBUG:root:Epoch: 27	Loss: 2.9560773372650146	Top1 accuracy: 36.5234375
DEBUG:root:Epoch: 28	Loss: 3.3548879623413086	Top1 accuracy: 39.6484375
DEBUG:root:Epoch: 29	Loss: 3.331751585006714	Top1 accuracy: 33.3984375
DEBUG:root:Epoch: 30	Loss: 3.0707032680511475	Top1 accuracy: 36.9140625
DEBUG:root:Epoch: 31	Loss: 3.211009979248047	Top1 accuracy: 38.8671875
DEBUG:root:Epoch: 32	Loss: 3.0754220485687256	Top1 accuracy: 39.84375
DEBUG:root:Epoch: 33	Loss: 3.3215911388397217	Top1 accuracy: 39.0625
DEBUG:root:Epoch: 34	Loss: 3.279510974884033	Top1 accuracy: 40.0390625
DEBUG:root:Epoch: 35	Loss: 3.169750928878784	Top1 accuracy: 34.9609375
DEBUG:root:Epoch: 36	Loss: 3.1967012882232666	Top1 accuracy: 41.796875
DEBUG:root:Epoch: 37	Loss: 3.0380775928497314	Top1 accuracy: 43.5546875
DEBUG:root:Epoch: 38	Loss: 2.8782260417938232	Top1 accuracy: 43.75
DEBUG:root:Epoch: 39	Loss: 3.0613181591033936	Top1 accuracy: 44.53125
DEBUG:root:Epoch: 40	Loss: 3.1556317806243896	Top1 accuracy: 37.3046875
DEBUG:root:Epoch: 41	Loss: 2.7866647243499756	Top1 accuracy: 50.1953125
DEBUG:root:Epoch: 42	Loss: 2.9623656272888184	Top1 accuracy: 39.2578125
DEBUG:root:Epoch: 43	Loss: 2.7304091453552246	Top1 accuracy: 48.4375
DEBUG:root:Epoch: 44	Loss: 2.88777756690979	Top1 accuracy: 39.2578125
DEBUG:root:Epoch: 45	Loss: 2.815757989883423	Top1 accuracy: 39.0625
DEBUG:root:Epoch: 46	Loss: 2.85334849357605	Top1 accuracy: 45.703125
DEBUG:root:Epoch: 47	Loss: 2.764146327972412	Top1 accuracy: 47.265625
DEBUG:root:Epoch: 48	Loss: 2.9454734325408936	Top1 accuracy: 54.1015625
DEBUG:root:Epoch: 49	Loss: 2.632251024246216	Top1 accuracy: 47.265625
DEBUG:root:Epoch: 50	Loss: 2.9691390991210938	Top1 accuracy: 45.3125
DEBUG:root:Epoch: 51	Loss: 2.733751058578491	Top1 accuracy: 39.453125
DEBUG:root:Epoch: 52	Loss: 2.9451518058776855	Top1 accuracy: 46.09375
DEBUG:root:Epoch: 53	Loss: 2.764310598373413	Top1 accuracy: 46.484375
DEBUG:root:Epoch: 54	Loss: 2.624415159225464	Top1 accuracy: 45.5078125
DEBUG:root:Epoch: 55	Loss: 2.709134578704834	Top1 accuracy: 48.046875
DEBUG:root:Epoch: 56	Loss: 2.5948879718780518	Top1 accuracy: 47.0703125
